cano_smiles,MW,TPSA,HBD,HBA,Water Solubility
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,354.1,104.55,3,6,23.4
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,248.307,86.18,2,4,0.284
CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,532.472,64.88000000000001,0,8,0.0116
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,252.273,58.2,2,2,0.0711
CC(=O)C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3C(O)CC12C,344.49500000000006,54.370000000000005,1,3,0.0337
CC1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,444.44000000000017,181.62,6,9,0.63
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,268.356,40.46,2,2,0.0109
CN(C)C1C(=O)C(C(=O)NCNCCCCC(N)C(=O)O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,602.6410000000002,242.98,9,12,1.31
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,344.845,17.82,0,2,0.00147
CC(=O)[O-].CC(=O)[O-].[Ca+2],158.166,80.25999999999999,0,4,147.0
Nc1ccc(S(N)(=O)=O)cc1,172.20900000000003,86.18,2,3,10.4
NC1CONC1=O,102.093,64.35,2,3,877.0
O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,256.092,44.7,1,3,0.279
O=NN(CCCl)C(=O)NCCCl,214.052,61.77,1,3,1.53
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,267.31,98.22,2,5,0.313
COCCc1ccc(OCC(O)CNC(C)C)cc1,267.369,50.72,2,4,0.402
CC=CC(=O)N(CC)c1ccccc1C,203.28500000000005,20.31,0,1,0.353
O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,336.29900000000004,100.88,2,6,0.0662
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC12)c1csc(N)n1,511.57100000000014,190.81,3,14,0.446
CCCN(CCC)CCc1cccc2c1CC(=O)N2,260.3809999999999,32.34,1,2,0.353
COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,380.8710000000001,27.69,0,3,0.000199
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,371.3930000000001,103.55,1,8,0.228
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,613.9150000000002,95.5,3,3,0.107
NCCc1ccn[nH]1,111.14799999999998,54.7,2,2,156.0
CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,339.3660000000001,115.54,1,8,6.8
COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,471.54600000000016,163.32999999999998,2,12,2.16
CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,446.5110000000001,129.81,3,7,0.0105
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,393.4680000000001,80.32,2,5,0.00317
Cn1c(=O)c2[nH]cnc2n(C)c1=O,180.167,72.68,1,5,22.9
CC1CNc2c(cccc2S(=O)(=O)NC(CCCN=C(N)N)C(=O)N2CCC(C)CC2C(=O)O)C1,508.6450000000004,180.21,5,6,0.168
NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,650.9760000000001,92.78000000000002,3,4,0.0195
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,339.4830000000001,59.22,1,3,0.0493
CCN(CC)CC(=O)Nc1c(C)cccc1C,234.343,32.34,1,2,0.593
NCCC(O)(P(=O)(O)O)P(=O)(O)O,235.069,161.30999999999997,6,4,15.8
CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,343.898,12.47,0,2,0.000405
CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,645.6080000000003,321.17,14,19,108.0
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,277.4079999999999,32.7,1,3,0.23
